192.168.10.8-205.174.165.73-53966-444-6,192.168.10.8,53966,205.174.165.73,444,6,6/7/2017 2:19,42664070,5,6,141,291,93,0,28.2,38.8612918,267,0,48.5,107.0696035,10.12561624,0.257828191,4266407,13400000,42400000,29,255908,63977,94867.03992,201415,609,42700000,8532630.2,18900000,42400000,595,0,0,0,0,112,132,0.117194632,0.140633559,0,267,36,77.39978858,5990.727273,0,0,0,1,0,0,0,0,1,39.27272727,28.2,48.5,112,0,0,0,0,0,0,5,141,6,291,8192,229,4,20,0,0,0,0,0,0,0,0,Infiltration
192.168.10.8-205.174.165.73-53966-444-6,192.168.10.8,53966,205.174.165.73,444,6,6/7/2017 2:19,2030,2,0,12,0,6,6,6,0,0,0,0,0,5911.330049,985.2216749,2030,0,2030,2030,2030,2030,0,2030,2030,0,0,0,0,0,0,0,0,0,40,0,985.2216749,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0,0,0,0,0,0,0,0,Infiltration
192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,6/7/2017 2:28,119991834,5523,5525,2866110,33406,1274,0,518.940793,204.2035303,267,0,6.046334842,3.512317683,24164.27771,92.07293223,10861.93844,112321.3571,9432176,3,120000000,21729.77798,158193.1653,9432951,493,120000000,21721.7529,158125.0232,9432176,582,0,0,0,0,110472,110512,46.02813221,46.04480002,0,1274,262.4233867,294.3120341,86619.57344,0,0,0,1,0,0,0,0,1,262.4471398,518.940793,6.046334842,110472,0,0,0,0,0,0,5523,2866110,5525,33406,8192,3294,5522,20,997842,831471.3076,1585781,409903,8143987.5,1821773.648,9432176,6855799,Infiltration
192.168.10.8-205.174.165.73-54122-444-6,192.168.10.8,54122,205.174.165.73,444,6,6/7/2017 2:30,5005212,15,15,0,90,0,0,0,0,6,6,6,0,17.98125634,5.993752113,172593.5172,241196.3685,513363,297,5004692,357478,233594.2419,513925,771,5004624,357473.1429,233602.7404,513927,832,0,0,0,0,460,300,2.996876056,2.996876056,0,6,2.903225806,3.048003048,9.290322581,0,0,0,1,0,0,0,0,1,3,0,6,460,0,0,0,0,0,0,15,0,15,90,8192,0,0,28,0,0,0,0,0,0,0,0,Infiltration
192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,6/7/2017 2:30,119973135,4376,4374,2321478,26244,1273,6,530.5022852,262.7688148,6,6,6,0,19568.73095,72.93299454,13712.7826,20459.26463,1163091,1,120000000,27422.43086,23472.11964,1196394,95,120000000,27431.07249,22575.23889,1163557,527,0,0,0,0,87520,87480,36.47483247,36.45816207,6,1273,268.2811107,321.4144458,103307.246,0,0,0,0,1,0,0,0,0,268.3117714,530.5022852,6,87520,0,0,0,0,0,0,4376,2321478,4374,26244,3294,3294,4375,20,0,0,0,0,0,0,0,0,Infiltration
192.168.10.8-205.174.165.73-54131-444-6,192.168.10.8,54131,205.174.165.73,444,6,6/7/2017 2:30,119974830,3398,3398,1645814,20643,1153,0,484.3478517,302.0574541,267,0,6.075044144,4.47864339,13890.05511,56.64521467,17656.33996,122163.8171,9785751,-1,120000000,35317.87754,171327.1062,9786561,515,120000000,35317.63674,171453.1821,9785751,528,0,0,0,0,67972,67972,28.32260733,28.32260733,0,1153,245.1753715,320.6415749,102811.0196,0,0,0,1,0,0,0,0,1,245.2114479,484.3478517,6.075044144,67972,0,0,0,0,0,0,3398,1645814,3398,20643,8192,3977,3397,20,824363,0,824363,824363,9785751,0,9785751,9785751,Infiltration
192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,6/7/2017 2:32,119993844,3813,3811,1752551,22866,1271,6,459.6252295,246.7309368,6,6,6,0,14795.9007,63.53659276,15741.02637,23598.93704,841617,1,120000000,31477.9234,26457.84929,861387,93,120000000,31485.6021,25623.9489,842050,519,0,0,0,0,76260,76220,31.77663014,31.75996262,6,1271,232.8423607,286.1621682,81888.78653,0,0,0,0,1,0,0,0,0,232.8729014,459.6252295,6,76260,0,0,0,0,0,0,3813,1752551,3811,22866,3294,3294,3812,20,0,0,0,0,0,0,0,0,Infiltration
192.168.10.8-205.174.165.73-54573-444-6,192.168.10.8,54573,205.174.165.73,444,6,6/7/2017 2:32,78233714,48,52,12042,586,1460,0,250.875,422.7945341,267,0,11.26923077,36.2470366,161.4137864,1.278221305,790239.5354,3643348.334,29500000,1,78200000,1664536.872,5176657.015,29500000,4,78200000,1533983.02,4985581.973,29500000,1,0,0,0,0,972,1052,0.613546226,0.664675079,0,1460,125.029703,314.9169241,99172.66911,0,0,0,1,0,0,0,0,1,126.28,250.875,11.26923077,972,0,0,0,0,0,0,48,12042,52,586,8192,538,47,20,2024843.8,3093999.209,7461188,3051,13600000,10200000,29500000,5662979,Infiltration
192.168.10.8-205.174.165.73-54131-444-6,192.168.10.8,54131,205.174.165.73,444,6,6/7/2017 2:32,118573317,3733,3732,1827335,22392,1271,6,489.5084383,269.6103044,6,6,6,0,15599.85878,62.95682864,15886.02854,20191.09006,466018,5,119000000,31770.25884,19986.37668,483765,89,119000000,31777.69472,19424.20401,466527,549,0,0,0,0,74660,74640,31.48263112,31.47419752,6,1271,247.7542191,307.8845905,94792.9211,0,0,0,0,1,0,0,0,0,247.7874079,489.5084383,6,74660,0,0,0,0,0,0,3733,1827335,3732,22392,3977,3977,3732,20,0,0,0,0,0,0,0,0,Infiltration
192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,6/7/2017 2:34,119992821,2252,2250,929308,13500,1272,6,412.6589698,304.9632397,6,6,6,0,7857.203391,37.51891124,26659.14708,478609.8093,30300000,1,120000000,53306.45091,676742.9543,30300000,113,120000000,53339.03112,676148.0116,30300000,476,0,0,0,0,45040,45000,18.76778945,18.75112179,6,1272,209.3746391,296.4006569,87853.3494,0,0,0,0,1,0,0,0,0,209.4211462,412.6589698,6,45040,0,0,0,0,0,0,2252,929308,2250,13500,3294,3294,2251,20,34300000,11400000,42400000,26200000,19400000,15500000,30300000,8400626,Infiltration
